ID	start_index	end_index	token	lemma	POS
276	1347	1349	US	us	NNP
277	1350	1353	who	who	WP
278	1354	1359	would	would	MD
279	1360	1362	be	be	VB
280	1363	1367	good	good	JJ
281	1368	1370	to	to	TO
282	1371	1374	get	get	VB
283	1376	1378	to	to	TO
284	1380	1387	discuss	discuss	VB
285	1388	1391	the	the	DT
286	1392	1402	California	californium	NNP
287	1403	1409	crisis	crisis	NN
289	1413	1417	kind	kind	NN
290	1418	1425	regards	regards	VBZ
292	1429	1435	Philip	philip	NNP
294	1443	1451	Original	original	NNP
295	1452	1464	Message-----	message-----	NNP
296	1466	1470	From	from	IN
298	1472	1477	Vince	vince	NNP
300	1478	1498	J.Kaminski@enron.com	_	NN
302	1500	1506	mailto	mailto	NN
304	1507	1533	Vince.J.Kaminski@enron.com	_	NN
306	1536	1540	Sent	send	NNP
308	1542	1550	Thursday	thursday	NNP
310	1552	1555	May	may	NNP
311	1556	1558	31	31	CD
313	1560	1564	2001	2001	CD
314	1565	1570	12:00	12:00	NN
315	1571	1573	AM	be	NNP
316	1575	1577	To	to	TO
318	1579	1603	pannesley@riskwaters.com	_	NN
319	1605	1607	Cc	cc	NNP
321	1609	1626	Vkaminski@aol.com	_	NN
322	1628	1635	Subject	subject	NNP
324	1637	1639	RE	re	NNP
326	1641	1645	Risk	risk	NN
327	1646	1650	2001	2001	CD
328	1651	1660	Australia	australium	NNP
329	1663	1669	Philip	philip	NNP
331	1673	1674	I	i	PRP
332	1675	1679	have	have	VBP
333	1680	1682	to	to	TO
334	1683	1690	decline	decline	VB
335	1691	1694	the	the	DT
336	1695	1705	invitation	invitation	NN
337	1706	1710	with	with	IN
338	1711	1718	regrets	regret	NNS
340	1721	1722	I	i	PRP
341	1723	1727	have	have	VBP
342	1728	1731	too	too	RB
343	1732	1736	many	many	JJ
344	1737	1748	commitments	commitment	NNS
345	1749	1754	right	right	RB
346	1755	1758	now	now	RB
348	1762	1767	Vince	vince	NNP
349	1768	1776	Kaminski	kaminskus	NNP
351	1784	1792	Original	original	NNP
352	1793	1805	Message-----	message-----	NNP
353	1807	1811	From	from	IN
356	1814	1820	philip	philip	NN
357	1821	1829	annesley	annesley	NN
360	1832	1856	pannesley@riskwaters.com	_	NN
363	1858	1863	ENRON	enron	NNP
365	1866	1872	mailto	mailto	NN
367	1873	1884	IMCEANOTES-	imceanotes-	NNP
369	1885	1887	22	22	CD
370	1887	1893	philip	philip	NN
372	1894	1896	20	20	CD
373	1896	1904	annesley	annesley	NN
375	1905	1907	22	22	CD
377	1908	1910	20	20	CD
379	1911	1912	3	3	CD
380	1912	1922	Cpannesley	cpannesley	NNP
382	1923	1925	40	40	CD
383	1925	1935	riskwaters	riskwater	NNS
385	1936	1937	2	2	CD
386	1937	1941	Ecom	ecom	NNP
388	1944	1945	3	3	CD
391	1947	1949	40	40	CD
392	1949	1964	ENRON@ENRON.com	_	NN
394	1968	1972	Sent	send	NNP
396	1974	1980	Monday	monday	NNP
398	1982	1985	May	may	NNP
399	1986	1988	28	28	CD
401	1990	1994	2001	2001	CD
402	1995	1999	3:27	3:27	NN
403	2000	2002	AM	be	NNP
404	2004	2006	To	to	TO
406	2008	2025	vkamins@enron.com	_	NN
407	2027	2034	Subject	subject	NNP
409	2036	2040	Risk	risk	NN
410	2041	2045	2001	2001	CD
411	2046	2055	Australia	australium	NNP
412	2058	2062	Dear	dear	RB
413	2063	2068	Vince	vince	NNP
414	2071	2075	Just	just	RB
415	2076	2077	a	a	DT
416	2078	2083	quick	quick	JJ
417	2084	2091	message	message	NN
418	2092	2094	to	to	TO
419	2095	2101	follow	follow	VB
420	2102	2104	up	up	RP
421	2105	2107	on	on	IN
422	2108	2111	the	the	DT
423	2112	2117	email	email	NN
424	2118	2122	that	that	IN
425	2123	2124	I	i	PRP
426	2125	2129	sent	send	VBD
427	2130	2133	you	you	PRP
428	2135	2143	recently	recently	RB
429	2145	2153	inviting	invite	VBG
430	2154	2157	you	you	PRP
431	2158	2160	to	to	TO
432	2161	2166	speak	speak	VB
433	2167	2169	at	at	IN
434	2170	2173	our	our	PRP$
435	2174	2185	forthcoming	forthcome	JJ
436	2186	2194	congress	congress	NN
438	2196	2200	Risk	risk	NN
439	2201	2205	2001	2001	CD
440	2207	2216	Australia	australium	NNP
442	2219	2224	which	which	WDT
443	2225	2227	is	be	VBZ
444	2228	2234	taking	take	VBG
445	2235	2240	place	place	NN
446	2241	2243	in	in	IN
447	2244	2250	Sydney	sydney	NNP
448	2251	2253	on	on	IN
449	2254	2256	20	20	CD
451	2259	2261	21	21	CD
452	2262	2268	August	august	NNP
453	2269	2273	2001	2001	CD
455	2275	2279	Have	have	VBP
456	2280	2283	you	you	PRP
457	2284	2287	had	have	VBD
458	2289	2291	an	an	DT
459	2293	2304	opportunity	opportunity	NN
460	2305	2307	to	to	TO
461	2308	2316	consider	consider	VB
462	2317	2320	the	the	DT
463	2321	2331	invitation	invitation	NN
464	2332	2335	yet	yet	RB
466	2337	2339	We	we	PRP
467	2340	2343	are	be	VBP
468	2344	2350	aiming	aim	VBG
469	2351	2353	to	to	TO
470	2354	2358	have	have	VB
471	2359	2362	the	the	DT
472	2364	2373	programme	programme	NN
473	2374	2381	printed	print	VBD
474	2382	2386	next	next	JJ
475	2387	2391	week	week	NN
477	2393	2395	so	so	IN
478	2396	2397	I	i	PRP
479	2398	2403	would	would	MD
480	2404	2410	really	really	RB
481	2411	2415	need	need	VB
482	2416	2418	to	to	TO
483	2419	2423	know	know	VB
484	2424	2426	as	as	RB
485	2427	2431	soon	soon	RB
486	2433	2435	as	as	IN
487	2437	2445	possible	possible	JJ
488	2446	2448	if	if	IN
489	2449	2452	you	you	PRP
490	2453	2458	would	would	MD
491	2459	2461	be	be	VB
492	2462	2471	available	available	JJ
493	2472	2474	to	to	TO
494	2475	2480	speak	speak	VB
495	2481	2483	at	at	IN
496	2484	2488	this	this	DT
497	2489	2493	year	year	NN
499	2496	2504	congress	congress	NN
501	2508	2509	I	i	PRP
502	2510	2512	am	be	VBP
503	2513	2520	working	work	VBG
504	2521	2525	from	from	IN
505	2526	2529	our	our	PRP$
506	2530	2534	Hong	hong	NNP
507	2535	2539	Kong	kong	NNP
508	2540	2546	office	office	NN
509	2547	2550	for	for	IN
510	2551	2555	this	this	DT
511	2556	2560	week	week	NN
512	2561	2565	only	only	RB
514	2567	2570	Tel	tel	NNP
517	2573	2576	852	852	CD
518	2578	2582	2545	2545	CD
519	2584	2588	2710	2710	CD
522	2591	2594	and	and	CC
523	2595	2596	I	i	PRP
524	2597	2600	can	can	MD
525	2601	2603	be	be	VB
526	2604	2613	contacted	contact	VBN
527	2614	2616	by	by	IN
528	2617	2622	phone	phone	NN
529	2623	2628	there	there	RB
530	2629	2631	or	or	CC
531	2632	2634	by	by	IN
532	2635	2640	email	email	NN
534	2644	2648	Kind	kind	NNP
535	2649	2656	regards	regards	VBZ
537	2660	2666	Philip	philip	NNP
538	2669	2675	Philip	philip	NNP
539	2676	2684	Annesley	annesley	NNP
540	2686	2696	Conference	conference	NNP
541	2697	2705	Producer	producer	NN
542	2707	2711	Risk	risk	NNP
543	2712	2718	Waters	waters	NNP
544	2719	2724	Group	group	NNP
546	2728	2730	44	44	CD
547	2731	2733	20	20	CD
548	2734	2738	7484	7484	CD
549	2739	2743	9866	9866	CD
551	2746	2748	44	44	CD
552	2749	2751	20	20	CD
553	2752	2756	7484	7484	CD
554	2757	2761	9800	9800	CD
555	2764	2800	www.risk-conferences.com/risk2001aus	_	NN
