ID	start_index	end_index	token	lemma	POS
208	1171	1179	AGrement	agrement	NNP
209	1180	1184	with	with	IN
210	1185	1190	Enron	enron	NNP
211	1191	1196	which	which	WDT
212	1197	1200	was	be	VBD
213	1201	1205	sent	send	VBN
214	1206	1208	to	to	TO
215	1209	1212	Ben	ben	NNP
216	1213	1219	Rogers	roger	NNP
217	1220	1222	on	on	IN
218	1223	1228	51200	51200	CD
220	1232	1236	this	this	DT
221	1237	1244	version	version	NN
222	1245	1247	is	be	VBZ
223	1248	1249	a	a	DT
224	1250	1255	clean	clean	JJ
225	1256	1263	version	version	NN
226	1264	1273	accepting	accept	VBG
227	1274	1277	all	all	DT
228	1278	1288	blacklined	blackline	JJ
229	1289	1296	changes	change	NNS
230	1297	1301	from	from	IN
231	1302	1313	59437v3.DOC	59437v3.doc	NNP
235	1320	1332	Confidential	confidential	NNP
236	1333	1341	AGrement	agrement	NNP
237	1342	1346	with	with	IN
238	1347	1352	Enron	enron	NNP
239	1353	1358	which	which	WDT
240	1359	1362	was	be	VBD
241	1363	1367	sent	send	VBN
242	1368	1370	to	to	TO
243	1371	1374	Ben	ben	NNP
244	1375	1381	Rogers	roger	NNP
245	1382	1384	on	on	IN
246	1385	1390	51200	51200	CD
248	1395	1399	this	this	DT
249	1400	1407	version	version	NN
250	1408	1410	is	be	VBZ
251	1411	1412	a	a	DT
252	1413	1418	clean	clean	JJ
253	1419	1426	version	version	NN
254	1427	1436	accepting	accept	VBG
255	1437	1440	all	all	DT
256	1441	1451	blacklined	blackline	JJ
257	1452	1459	changes	change	NNS
258	1460	1464	from	from	IN
259	1466	1477	59437v3.DOC	59437v3.doc	NNP
